[2026-07-18T17:41:06.665Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1333B)
[2026-07-18T17:41:07.887Z] GET http://localhost:4600/api/game-status → 200 (23ms, 1486B)
[2026-07-18T17:41:09.130Z] GET http://localhost:4600/api/game-status → 200 (76ms, 1601B)
[2026-07-18T17:41:12.195Z] GET http://localhost:4600/api/game-status → 200 (52ms, 1483B)
[2026-07-18T17:41:13.442Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1483B)
[2026-07-18T17:44:47.659Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1483B)
[2026-07-18T17:44:48.879Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1483B)
[2026-07-18T17:44:50.100Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:44:51.318Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1483B)
[2026-07-18T17:44:52.540Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1483B)
[2026-07-18T17:44:53.763Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1483B)
[2026-07-18T17:47:30.806Z] GET http://localhost:4600/api/game-status → 200 (21ms, 1483B)
[2026-07-18T17:47:32.030Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1483B)
[2026-07-18T17:47:33.250Z] GET http://localhost:4600/api/game-status → 200 (13ms, 1483B)
[2026-07-18T17:47:34.464Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1483B)
[2026-07-18T17:47:35.680Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1483B)
[2026-07-18T17:47:36.898Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1483B)
[2026-07-18T17:47:38.118Z] GET http://localhost:4600/api/game-status → 200 (25ms, 1483B)
[2026-07-18T17:47:39.343Z] GET http://localhost:4600/api/game-status → 200 (15ms, 1483B)
[2026-07-18T17:48:21.292Z] GET http://localhost:4600/api/game-status → 200 (13ms, 1636B)
[2026-07-18T17:48:22.507Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1751B)
[2026-07-18T17:48:25.527Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1751B)
[2026-07-18T17:48:28.548Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1751B)
[2026-07-18T17:48:55.871Z] GET http://localhost:4600/api/game-status → 200 (23ms, 1639B)
[2026-07-18T17:48:57.097Z] GET http://localhost:4600/api/game-status → 200 (22ms, 1639B)
[2026-07-18T17:48:58.319Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1639B)
[2026-07-18T17:48:59.539Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1639B)
[2026-07-18T17:49:20.020Z] GET http://localhost:4600/api/game-status → 200 (14ms, 1639B)
[2026-07-18T17:49:21.238Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1639B)
[2026-07-18T17:49:22.461Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1639B)
[2026-07-18T17:49:23.682Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1639B)
[2026-07-18T17:49:24.904Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:49:26.127Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1639B)
[2026-07-18T17:49:28.690Z] GET http://localhost:4600/api/game-status → 200 (15ms, 1639B)
[2026-07-18T17:49:29.909Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1639B)
[2026-07-18T17:49:31.129Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1639B)
[2026-07-18T17:49:32.351Z] GET http://localhost:4600/api/game-status → 200 (21ms, 1639B)
[2026-07-18T17:49:33.575Z] GET http://localhost:4600/api/game-status → 200 (21ms, 1639B)
[2026-07-18T17:49:34.800Z] GET http://localhost:4600/api/game-status → 200 (29ms, 1639B)
[2026-07-18T17:49:39.338Z] GET http://localhost:4600/api/game-status → 200 (28ms, 1907B)
[2026-07-18T17:49:42.370Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1787B)
[2026-07-18T17:49:43.589Z] GET http://localhost:4600/api/game-status → 200 (14ms, 1787B)
[2026-07-18T17:49:44.805Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1787B)
